predict	real	text
1	0	                                               다 짤랐을꺼야 그래서 납득할 수 없었던거야 그럴꺼야 꼭 그랬던걸꺼야
1	0	                                                       센스있는 연출력탁월한 캐스팅년대의 향수 그래서 점
1	0	                                         엄포스의 위력을 다시 한번 깨닫게 해준 적남 꽃검사님도 연기 정말 좋았어요 완전 명품드라마
1	0	                                                                   패션에 대한 열정 안나 윈투어
1	0	                                               키이라 나이틀리가 연기하고자 했던건 대체 정신장애일까 틱장애일까
1	0	                 윤제문이라는 멋진 배우를 발견하게 됐어요 소소한 일탈이 잔잔한 미소를 머금게 합니다 음악은 조금 아쉽네요ᅲᅲ 점 주고 싶은데 평점 올리고 싶어 점 줄게요
1	0	                                                                         난 우리영화를 사랑합니다
1	0	                                                           이렇게 가슴시리게 본 드라마가 또 있을까 감동 그 자체
1	0	                                                                             전 좋아요
1	0	                                                                 보는내내 그대로 들어맞는 예측 카리스마 없는 악역
1	0	                                                           평범함속에 녹아든 평범한 일상 조금 밋밋한게 흠
1	0	                                               김남길의 백점짜리 연기력과 초반 몰입도에도 불구하고 지루하고 손예진 ᄌᄌ
1	0	                                                                         어설픈 전개 어이없는 결말
1	0	                                                               아햏햏 아햏햏 아햏햏
1	0	                                                                         이건 뭐냐 우뢰매냐
1	0	                                                                         진정 위대한 영화 최고임
1	0	                                                         ᄏᄏᄏ 진짜 골깜ᄏᄏ 눈 부라릴때 쓰러짐ᄏᄏ
1	0	                                                                       성룡영화중 최악인듯 ᄏᄏ
1	0	                                                               재미없음 진심 이훨나 캐스팅두못한듯
1	0	                                             영화속 억지스럽고 노골적인 술광고를 좀 은은하고 센스있게 했으면 어땠을까
1	0	                                           시청률 기준이 되는 패널가구들 머하는거지 명작드라마 다 망치네 ᅳᅳ 내가 다 서운하다
1	0	                                                                     몬스터 주식회사 D 재밌게 봤다
1	0	공짜로있길래 봤음 ᄏᄏ 헐 스토리가 문제가아니라 연기자들이 전혀 배역이랑 어울리지않음 그리고 상대배우들하고 다 따로 노는거같음 이건 연기자들도 문제있음 보아는 진심 완전 별로임 라미란하고 아들이 젤 볼만했음
1	0	                                                           너무 욕심이 많았던 영화 어느 한 쪽만이라도 제대로 보여줬다면
1	0	                                                                 베댓이 말을 아주 잘써놨네
1	0	                                                                         아주 모자라진 않다
1	0	                                                                   정말재미있고 교훈적인 영화이네요
1	0	                                                                       케이블에서 그만 나와줬으면
1	0	                                                                             볼만해
1	0	                                                                         나름 괜찮은 작품입니다
1	0	                                                                     정말 실망 스러웟음
1	0	                                                     영화 끝나갈때쯤에 멍하다가 다보고나면 한마디 나올거임 ᄌ같다
1	0	                                     이 영화 머임내가 왜 받아 봤을까 그것이 알고싶다이 영화는 배우들과 스텝들이 감독의 꼭두각시였음
1	0	                                                                 뻑뻑잘 읽어볼걸 나도 당했음
1	0	                                                                         유치하고 지루하고 잠이 왔다
1	0	                                           기존 멜로영화 형식을 탈피하려고 하였으나 감정의 절제가 지나쳐 너무 담백한 영화
1	0	                                                           사다코의 한이 서린 우물펀치ᅮᅮ 감동
1	0	                                                                         가발 쓰고 싶다
1	0	                                                           언제적 영웅본색 연출인지 현실성 제로인 영화
1	0	                                         더럽게 재미없다 어떤 형태로도 와 닿지 않는 허무하고 완벽히 지루한 영화고 영양가 하나도 없는 영화다
1	0	                                                   오늘 현충일특집프로로 보게되었습니다 년도의 매우 훌륭한 작품입니다
1	0	                                                     세계최초의 반공 애니매이션이라는 역사적 가치가 있다
1	0	                                                     옥소리 프로필 사진에 점남기고 갑니다 ᄏᄏᄏᄏᄏᄏᄏᄏᄏᄏᄏᄏᄏᄏ완전 대박이다 진짜 아우 짜증나
1	0	                                                                 중간정도 부터 봤는데도 꽤나 대단하군요
1	0	                                                   액션영화가 아니다범죄 느와르 영화다 허나 범죄 느와르 영화로서도 실패작
1	0	                                                                     또보고 싶은데 어디서 보죠
1	0	   전미 박스 오피스위 ᄏᄏ 그냥 몰아주기 하는건가 어떻게 이런영화가 위를 하지 옛날 년대 우뢰매수준의 물폭탄싸움이네 ᄏᄏ 손에서 빔나가나 손에서 물폭탄 나가나 다를게 뭐지
1	0	                                                                             ᅲᅲ 슬픔
1	0	                                                                       딱히 재미는 없네요 킁
1	0	                                                                     케이블에서 그만 좀 재탕해라
1	0	                                                                     쓰레기 연예인 재기의 장그러나
1	0	                                                         잊을 수 없는 안개낀 워터루 다리와 마스코트
1	0	                                                               아 츠무구만 없어지면 별 개줄게
1	0	                                                                           처ᅯ주
1	0	                                               예술가로써의 한 사람의 인생과당시 시대적 상황을 질 느낄 수 있었던 명작
1	0	탄보다 못하고싸우는 검술은 마치 중국검술 흉내낸거 같은게 그리고 란슬롯이 실제는 쌍검였나너무 매칭이 안대 하튼 ᄏ기네비어역도 미스
1	0	                                                                   재미없다 기대 완전 했는데 완전 못함 실망
1	0	                                                                   무섭지도 않고 기분만 나쁘고 쩝
1	0	                 도대체 뭐가 재밌다는건지 모르겠네요 무슨 아이언맨 시리즈의 개그도 뛰어넘는다 하는데 어디서 웃어야할지도 모르겠고 내용도 뭔지 뜬금없는 히어로놀이는 또 뭔지 왜이렇게 평점이 높은지 모르겠습니다
1	0	                                                 진 짜 리얼 개 쓰레기 영화 다 보고 나면 정말 찝찝해지는 영화 절대보지마
1	0	                                                                         전 정말 재미있게 봤습니다
1	0	                                                                   견자단 대박엽문 시리즈는 계속된다
1	0	                   평론가 명치를 겁나 때리고 싶다 정말 이 영화 재미없을거라 생각했는데 재미도 있고 내 인생에 도움이 가장큰 영화입니다 본인이 깨달고 싶으면 꼭 보세요 인생을 바꿔줄겁니다
1	0	                                                           아 정말짜증나네 절때보지말껄욕나옴
1	0	                                                                       What is this movie for
1	0	                                                                       이딴게 한국 영화라니
1	0	                                                                             최고의영화
1	0	                                                                           걍 둘다 변태
1	0	                                                                   신화 화이팅 에릭 화이팅 모두 힘내요
1	0	                                                     배우들의 따뜻한 연기도 일상의 힘겨움을 그리는 현실감도 다 좋았어요
1	0	                                                                   책과는 분명히 다른시선 괜찮네요
1	0	                                           와 이연서님 신인답지 않은 연기력 잘 봤습니다 다음 작품에서 또 뵙길 바랍니다
1	0	                                                                 평생 기억할만한 영화정상적인 소재는 아니지만
1	0	                                                 많을 것을 생각하게 만드는 영화입니다마지막에 사람들이 짐승으로 보이고 아수라가 사람같아 보였습니다
1	0	                                   세계 어디서나 정치 경제 문화 사회 전반에 걸쳐 변화가 절실한 상황이지만 변화를 가져올 방법이 없다는게 함정인 것 같다
1	0	                                 잔잔하게 숨막히는 영화 연출이 대단하다 곳곳에 숨어있는 복선 치밀하다 싶을정도로 섬세한 감정표현 거기에 김영애의 연기까지
1	0	                                       블랙코미디 조롱 대상이 우린데 기분 드러워서 점수 주겠냐 성기 노출 등으로 어그로나 끌고서는 ᄍᄍ
1	0	                                         촌동네 조폭삼류영화 가끔씩 툭툭들이미는 유머도 영쌩뚱맞구 촌스럽기까지하다
1	0	                                                 조잡하고 유치한 저예산 류 B급 영화다 스토리에 깊이감도 없고 전체적으로 루즈하다
1	0	               진짜뭐냐 민국이나 지아는 더빙 더이상시키면안되겠네 더빙이 얼마나중요한데 이런애들을시켜데뷔도안한애들을 연예인이해도 뭐라고하는판에
1	0	                                                                           진짜 짜증나는 영화
