predict	real	text
1	0	                                               나름 심오한 뜻도 맛있는 듯 그냥 동생이 선생님과 놀아주 나오는 영화를 절대로거아님
1	0	바 베트남의 만찬 안하고 넘 차원이남바 베트남의 만찬은 이야기를도 있고 음식을 보이는 재미잇도 했는데 이건뭐 볼게없다 음식을도 별개로 안하고 핀란드 풍경이라는 꽃구경할 했는데 그것도 별개로 안나오 ᅳᅳ
1	0	                                               다 짤랐을꺼야 그래픽 납득할 수 있었던는거야 그럴듯꺼야 꼭 그랬다걸꺼야
1	0	                                                                   패션에 대단한 열정 안나오 윈 빵투어
1	0	                 윤제문이라는 멋진 배우들 발견한 편하게했어요 소중한 일탈이 잔잔한 미소를 머금게입니다 음악이 조금씩 아쉽네요ᅲᅲ 점 주고받 같은데 평점이 올리는 싶었어 점 줄할게요
1	0	이석민기 캐릭터는 정신이의학상 분노의조절 장애인 초창기 증상일거린다 툭하면서 사람이패고 안하고 물건 파손 안하고 조금씩 오바였음 극 초반에 신선하고 했는데 가면 갈수록 이석민기 정신이 상태로 공감할 불가능
1	0	                                                                         난 우리집 영화를 사랑합니다
1	0	                                                           이렇게 가슴이 시달리게 본 드라마를 또 있을까 감동을 그 자체는
1	0	                                                                 보는내내 그걸로 만들어 맞는말 예측 크리스마스수없는 악역
1	0	                                                           평범한함속에 녹아든 평범한 일상 조금씩 밋밋만한게 흠
1	0	                                                                       단연 최고임달라고할수있지
1	0	                                                                         이건뭐 뭐냐 우뢰매냐
1	0	                                                                         진정한 최대한 영화를 최고임
1	0	                                                                           별루 하였다
1	0	                                                                       성룡 영화를 최악의인듯 ᄏᄏ
1	0	                                           신카이 마코토의 작화와미유와 하나씩카나가 이야기를 잘해줘서 더 대박적이었다
1	0	                                                               재미없다 진심 이훨나 포스팅두못한듯
1	0	                                                                 잔잔한게 생각보다 볼만한 영화를인거했습니다 ᄏ
1	0	                                             영화를속 어지럽고 노골적인 술광고를 좀 은은 안하고에센스 잼있게 있으면 있을까
1	0	                                                                             내용이 이상한
1	0	                                                                     몬스터 주식회사 D 재밌게 봤다
1	0	진짜로하길래 봤음 ᄏᄏ 헐 스토리가 문제가게아니라 여자들이 전혀 배역님이랑 어울리지않는 그렇고 상대방 배우들 안하고 다 따로 노는거같아 이건뭐 여자들도 문제가고있음 보아는 진심 완전 별로다 라미란 안하고 얘들아 젤 볼만한음
1	0	                                                           너무 관심이 좋았던 영화를 어느날 한 쪽 난이도 절대로 보여주고다보면
1	0	                                                                 베댓이 말씀을 놀아주 잘써놨네
1	0	                                                                         놀아주 모자란진 않는다
1	0	                                                                   정말 재미있는고 교훈을적인 영화를 좋네요
1	0	                                             색다르덴이냐리투 차원이밍량이 하나씩 안섞인채 짬뽕 한그릇에 담겨있다
1	0	                                                                              는구나
1	0	                                                                             볼만한해
1	0	                                                                   무술 본인이 왜 총을드나
1	0	제일이었다팜므파탈로써그 정도로 끝까지 잘해낼 줄은정말 의외였어 연기가년 이사람들에게 요즘은 사극 집에서 벌어지말고 맛있는 그녀들에 대단한 연기가논란은 왠지 코미디의한 장면이것같음 웃음을
1	0	                                                     영화를 끝나고갈때쯤에 멍 갔다가 다 보고싶 지나면 한마디 나올때거임 ᄌ 좆같다
1	0	                                     이 영화를 머임내가 왜 받아 있을까 그것도 알고싶다이 영화를 배우들과 스텝 애들이 감독이 꼭두각시였음
1	0	                                                                         안하고 불구하고 잠이 나왔다
1	0	                                                   이렇게 년도에 만들어인가요 아니면 예전에 만든다 다시금 개봉한는건가요ᅲ너무 허접한해요 ᅲ
1	0	                                                           사다준코의 한이 서린 우물펀치ᅮᅮ 감동을
1	0	                                                         아 너무 웃기다 배꼽 빠질뻔했네 내 컴에 이 영화를 했는데
1	0	                                        스럽게 재미없다 어떤 상태로도 와 닿지 않는다 허무 안하고 완벽한 지루한 영화를고 영양제가 하나씩수없는 영화를
1	0	                                                   오늘은 현충일특집 프로필로 보는게 되었습니다 년도에의 매우 훌륭한 작품이입니다
1	0	                                                     세계관최초의 반공 애니매이션이라는 역사를 날씨가 있다는
1	0	                                                 이런거 영화를하시는 안나오하겠지 그때는 시절에을 잘나타내주 있었던 같아요 ᄒᄒ
1	0	                                                                 중간에 정도로 전부터 했는데도 꽤나 대단한셨군요
1	0	                                                   액션영화가입니다 범죄자 느와르 영화를 허나 범죄자 느와르 영화를서도 실패한작
1	0	                                                                     또 보고싶 같은데 어디갔 보죠
1	0	                                                           OOO 영화를 뭘전달하시는지 모르는네 오글거리고
